"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"m30010.00.65,""0.0"",""160447-001000"",""20000.0"",""2025-07-30"","""""
"m30018.00.65,""0.0"",""160447-000500"",""4500.0"",""2025-07-30"","""""
"3767.67,""0.0"",""160447-000100"",""1000.0"",""2025-07-30"","""""
"3801.60,""0.0"",""160447-000100"",""6000.0"",""2025-07-30"","""""
"3856.67,""0.0"",""160447-001000"",""1000.0"",""2025-07-30"","""""
"470006,""0.0"",""160447-000500"",""3500.0"",""2025-07-30"","""""
"470308,""0.0"",""160447-001000"",""7000.0"",""2025-07-30"","""""
"490712,""0.0"",""160447-001000"",""1000.0"",""2025-07-30"","""""
"460509d,""0.0"",""160447-001000"",""3000.0"",""2025-07-30"","""""
"5115.99,""0.0"",""160447-000100"",""700.0"",""2025-07-30"","""""
"440306.47,""0.0"",""160447-001000"",""10000.0"",""2025-07-30"","""""
"4010.24,""0.0"",""V-001400"",""8400.0"",""2025-09-05"","""""
"490208,""0.0"",""160447-001000"",""25000.0"",""2025-07-30"","""""
"m30025.00.65,""0.0"",""160447-000500"",""3000.0"",""2025-07-30"","""""
"1364p.68,""0.0"",""160447-001000"",""6000.0"",""2025-07-30"","""""
"2007.61,""2500.0"",""V-000500"",""0.0"",""2025-09-05"","""""
"3876c.67,""5000.0"",""113678-001000"",""0.0"",""2026-01-23"","""""
"393408,""2000.0"",""V-001000"",""0.0"",""2025-09-11"","""""
"3947,""10000.0"",""V-000250"",""0.0"",""2025-09-23"","""""
"ot35030,""1.0"",""146756-000001"",""0.0"",""2025-09-24"","""""
"3829b.67,""0.0"",""110376-000500"",""2000.0"",""2025-08-07"","""""
"490814d,""600000.0"",""114848-006000"",""0.0"",""2025-09-29"","""""
"1365a.62,""0.0"",""V-000500"",""4470.0"",""2025-09-26"","""""
"6402c.65,""0.0"",""V-002000"",""6000.0"",""2025-08-26"","""""
"zs340988.20,""0.0"","""",""40000.0"",""2025-09-22"","""""
"zs340988.21,""40000.0"","""",""0.0"",""2025-10-06"","""""
"RMSA10,""0.0"","""",""12.075"",""2025-07-21"","""""
"zr2522015x.63F,""0.0"",""154297"",""500000.0"",""2025-08-11"","""""
"RMSA10,""0.0"","""",""14.7"",""2025-07-03"","""""
"zr2535015x.63F,""0.0"",""154298"",""500000.0"",""2025-09-02"","""""
"3866c.68,""0.0"","""",""50000.0"",""2025-07-25"",""ZL-00226293|3866c.68||1"""
"3856.67,""0.0"","""",""1000.0"",""2025-07-28"",""ZV-00228787|3856.67||1"""
"3915,""0.0"","""",""6000.0"",""2025-07-29"",""ZV-00228788|3915||1"""
"440306.47,""0.0"","""",""10000.0"",""2025-07-28"",""ZV-00228790|440306.47||1"""
"440609.47,""0.0"","""",""5000.0"",""2025-07-24"",""ZV-00228792|440609.47||1"""
"4506b06.67,""0.0"","""",""20000.0"",""2025-08-28"",""ZV-00228793|4506b06.67||1"""
"4508b06.67,""0.0"","""",""5000.0"",""2025-08-28"",""ZV-00228794|4508b06.67||1"""
"460509d,""0.0"","""",""3000.0"",""2025-07-28"",""ZV-00228795|460509d||1"""
"470006,""0.0"","""",""3500.0"",""2025-07-28"",""ZV-00228796|470006||1"""
"470308,""0.0"","""",""7000.0"",""2025-07-28"",""ZV-00228798|470308||1"""
"3825m.68,""0.0"",""V-002000"",""6000.0"",""2025-08-04"","""""
"382508.68,""0.0"",""V-005000"",""10000.0"",""2025-09-02"","""""
"1364d.68,""0.0"",""V-001000"",""10000.0"",""2026-03-03"","""""
"zr20417.80,""0.0"",""V-005000"",""30000.0"",""2025-12-16"","""""
"zr20417.80,""0.0"",""V-005000"",""60000.0"",""2026-01-29"","""""
"m50025.01.65,""0.0"",""V-000050"",""150.0"",""2025-07-31"","""""
"1019f.21,""0.0"",""V-001000"",""10000.0"",""2025-11-12"","""""
"3316a.67,""12500.0"","""",""0.0"",""2025-09-19"","""""
"3966s,""0.0"",""V-001000"",""7000.0"",""2025-09-23"","""""
"3838an.67,""25000.0"","""",""0.0"",""2025-08-08"","""""
"mb_14,""25.0"","""",""0.0"",""2025-08-15"","""""
"0382508.68,""0.0"","""",""12000.0"",""2025-11-07"","""""
"zs340988.21,""20000.0"",""V-001000"",""0.0"",""2025-07-24"","""""
"3829g.67,""0.0"",""V-000250"",""500.0"",""2025-10-10"","""""
