"Teil,""Anzahl"""
"01001g.68,""5400.0"""
"01001q.68,""83200.0"""
"01001u.28,""9600.0"""
"01002d.68,""10000.0"""
"01002k.68,""38400.0"""
"01002m.28,""9600.0"""
"01002m.68,""412800.0"""
"01002t.68,""113400.0"""
"01002w.28,""9600.0"""
"01003.68,""14400.0"""
"01003c.68,""19200.0"""
"01003e.68,""51300.0"""
"01003l.68,""28800.0"""
"01003m.28,""52650.0"""
"01004e.68,""991.0"""
"01004p.68,""140839.0"""
"01005c.61,""28800.0"""
"01005f.28,""27000.0"""
"01007a.28,""9600.0"""
"01009l.28,""9600.0"""
"01015.28,""4800.0"""
"01015.68,""28800.0"""
"01016a.28,""20800.0"""
"01016b.68,""54000.0"""
"01016c.68,""14040.0"""
"01016l.28,""43200.0"""
"01016l.68,""43200.0"""
"01016r.68,""64800.0"""
"01016s.68,""5400.0"""
"01018.28,""24000.0"""
"01019.28,""8100.0"""
"01080s.68,""28800.0"""
"01081f.68,""30400.0"""
"01081l.68,""16200.0"""
"01099d.68,""6000.0"""
"01341r.28,""4000.0"""
"03773a08.68,""130000.0"""
"03775a05.28,""9600.0"""
"03775a05.68,""883200.0"""
"03775a08.61,""50000.0"""
"03775a08.68,""90000.0"""
"03775l08.28,""53991.0"""
"03779c.28,""25000.0"""
"0378008.68,""45000.0"""
"03780a05.62,""169.0"""
"03780a08.61,""15000.0"""
"03780a08.68,""375000.0"""
"03780b08.68,""50000.0"""
"03780s05.68,""1405.0"""
"03780s08.28,""1963.0"""
"03783e.61,""1920.0"""
"03783f.68,""5428.0"""
"03785a05.68,""148800.0"""
"03785a08.68,""208852.0"""
"03785c08.68,""16000.0"""
"03785w08.68,""1084.0"""
"0378708.68,""18000.0"""
"0378908.61,""2000.0"""
"0378908.64,""6800.0"""
"0378908.68,""14000.0"""
"03789c05.68,""38400.0"""
"03789c08.68,""100000.0"""
"03789f08.68,""43275.0"""
"03789l08.68,""203600.0"""
"0382505.68,""51143.0"""
"0382508.61,""8000.0"""
"0382508.68,""554000.0"""
"03825k.68,""3200.0"""
"0382708.68,""16000.0"""
"03827b08.62,""2000.0"""
"03827b08.68,""30000.0"""
"03865u.68,""8000.0"""
"03865y.61,""1717.0"""
"03866a.28,""42000.0"""
"03866a.61,""36000.0"""
"03866a.65,""4000.0"""
"03866a.68,""852000.0"""
"03866b.61,""8000.0"""
"03866b.65,""131967.0"""
"03866b.68,""84000.0"""
"03866c.28,""8000.0"""
"03866c.61,""10000.0"""
"03866c.68,""32000.0"""
"03866g.62,""6000.0"""
"03866z.68,""12000.0"""
"03867b.61,""20000.0"""
"03867b.68,""58000.0"""
"03867d.65,""15800.0"""
"03867d.68,""49963.0"""
"03867e.68,""40000.0"""
"03867k.68,""23995.0"""
"1,""56.0"""
"10,""20.0"""
"1000.20,""5467.0"""
"1000c.20,""49041.0"""
"1000c.21,""3877.0"""
"1000d.22,""29690.0"""
"1000e.28,""13040.0"""
"1000f06.68,""61665.0"""
"1000g.22,""2853.0"""
"1000k.20,""200000.0"""
"1000k.28,""8026.0"""
"1000s.60,""1335.0"""
"1001.20,""64990.0"""
"1001.22,""41501.0"""
"1001.28,""31730.0"""
"1001a.60,""420290.0"""
"1001a.68,""99767.0"""
"1001b.20,""105800.0"""
"1001b.22,""305.0"""
"1001b.60,""190000.0"""
"1001b.62,""7200.0"""
"1001e.21,""3940.0"""
"1001e.28,""18545.0"""
"1001f.60,""43400.0"""
"1001f.68,""9310.0"""
"1001g.60,""24470.0"""
"1001g.68,""7703.0"""
"1001h.20,""29930.0"""
"1001h.28,""19880.0"""
"1001j.68,""1040.0"""
"1001l.68,""3770.0"""
"1001m.20,""449307.0"""
"1001m.28,""25125.0"""
"1001p.60,""61440.0"""
"1001q.61,""110287.0"""
"1001q.68,""40830.0"""
"1001s.60,""307790.0"""
"1001s.61,""745.0"""
"1001s.68,""223350.0"""
"1001t.20,""15000.0"""
"1001t.28,""10690.0"""
"1001u.20,""59595.0"""
"1001u.28,""63114.0"""
"1001v.20,""356300.0"""
"1001v.28,""4166.0"""
"1001w.60,""85935.0"""
"1001w.61,""5662.0"""
"1001w.68,""37880.0"""
"1001x.60,""109000.0"""
"1001x.68,""26000.0"""
"1001y.68,""169270.0"""
"1001z.20,""428630.0"""
"1001z.28,""229129.0"""
"1002.68,""4290.0"""
"1002a.20,""40739.0"""
"1002a.28,""6418.0"""
"1002b.61,""2160.0"""
"1002b.68,""4320.0"""
"1002c.68,""19000.0"""
"1002d.60,""134330.0"""
"1002d.61,""560.0"""
"1002d.68,""21330.0"""
"1002f.28,""1855.0"""
"1002h.28,""381310.0"""
"1002k.61,""71540.0"""
"1002k.68,""97837.0"""
"1002m.20,""41062.0"""
"1002m.28,""1100.0"""
"1002m.60,""680900.0"""
"1002m.61,""45950.0"""
"1002m.68,""228007.0"""
"1002m06.20,""4763.0"""
"1002m06.28,""2680.0"""
"1002n.68,""2722334.0"""
"1002p.60,""10100.0"""
"1002p.68,""116740.0"""
"1002q.68,""48077.0"""
"1002t.61,""2000.0"""
"1002t.68,""31400.0"""
"1002w.28,""123496.0"""
"1002x08.60,""124595.0"""
"1002x08.61,""27625.0"""
"1002x08.68,""39995.0"""
"1002y.68,""6574.0"""
"1002z.20,""22500.0"""
"1002z.2202,""21065.0"""
"1002z.28,""33000.0"""
"1003.60,""38245.0"""
"1003.61,""404.0"""
"1003a.28,""1500.0"""
"1003ab.68,""3628.0"""
"1003c.60,""65350.0"""
"1003c.68,""5420.0"""
"1003d.60,""305600.0"""
"1003d.68,""34925.0"""
"1003e.68,""68464.0"""
"1003f.60,""25500.0"""
"1003f.68,""240.0"""
"1003j.61,""2190.0"""
"1003k.68,""3488.0"""
"1003l.60,""45400.0"""
"1003m.28,""50302.0"""
"1003p.20,""45600.0"""
"1003s.2205,""2155.0"""
"1003u.20,""52554.0"""
"1003u.28,""998.0"""
"1003v.60,""14960.0"""
"1003v.68,""31800.0"""
"1003w.20,""69500.0"""
"1003x.28,""4788.0"""
"1003y.60,""10490.0"""
"1003y.68,""2000.0"""
"1003z.20,""79856.0"""
"1003z.22,""34762.0"""
"1003z.28,""13882.0"""
"1004a.28,""3759.0"""
"1004b.20,""875.0"""
"1004c.60,""4350.0"""
"1004c.68,""17960.0"""
"1004d.78,""20.0"""
"1004e.68,""13973.0"""
"1004g.22,""1773.0"""
"1004h.68,""46502.0"""
"1004m.68,""7007.0"""
"1004p.68,""105715.0"""
"1004s.28,""26340.0"""
"1004w.28,""1347.0"""
"1005b.20,""30280.0"""
"1005b.28,""3085.0"""
"1005e.28,""3000.0"""
"1005f.20,""963.0"""
"1005f.28,""85330.0"""
"1005h.28,""17680.0"""
"1005u.20,""226000.0"""
"1006.60,""69248.0"""
"1006.61,""921.0"""
"1006.68,""10144.0"""
"1006h.68,""9475.0"""
"1007a.28,""60120.0"""
"1007a08.20,""72245.0"""
"1007a08.28,""26539.0"""
"1007d.68,""720.0"""
"1009k.20,""76200.0"""
"1009k.22,""5992.0"""
"1009l.20,""57200.0"""
"1009l.28,""490.0"""
"1010.61,""14830.0"""
"1011.61,""4265.0"""
"1013.68,""52.0"""
"1013e.60,""200000.0"""
"1013e.68,""3390.0"""
"1013s.68,""2000.0"""
"1015.20,""106950.0"""
"1015.28,""93380.0"""
"1015.61,""4950.0"""
