"Teil","Suchbegriff","WBZ","Selektion","ArtikelGruppe","DispoArt"
"zs3409270.61","Abdeckscheib","15.0","959600","959600","0"
"Galvanik","GALV","0.0","Galvanik","0","3"
"zs340928.20","Abdeckscheib","35.0","959600","959600","0"
"zs340928.22","Abdeckscheib","15.0","959600","959600","0"
"zs105622.20","Abdeckung","60.0","959600","959600","0"
"zs105622.23","Abdeckung","15.0","959600","959600","0"
"zk20405","Abdeckung Ku","0.0","959700","959700","0"
"vpfk080","Safeshield","20.0","970302","970302","0"
"vpfk081","Safeshield","20.0","970302","970302","0"
"3950g","Abisolierzan","0.0","601010","601010","0"
"3950k","Abisolierzan","65.0","601010","601010","2"
"vpfk082","Safeshield","20.0","970302","970302","0"
"3950wn","Abisolierzan","15.0","601010","601010","0"
"vpfk083","Safeshield","20.0","970302","970302","0"
"3951c","Abisolierzan","0.0","601010","601010","0"
"3951d","Abisolierzan","0.0","601010","601010","0"
"zs043382000","Abschirmblec","50.0","959600","959600","0"
"zs305360.80","Abschirmblec","60.0","959600","959600","0"
"zs53504002","Abschirmblec","45.0","959600","959600","0"
"zs281399.70","Abschirmblec","105.0","959600","959600","0"
"zs281399.78","Abschirmblec","15.0","959600","959600","0"
"zs281399078","Abschirmblec","30.0","959600","959600","0"
"zs1111630280","Abschirmblec","30.0","959600","959600","0"
"zszt35154.70","Abschirmblec","75.0","959600","959600","0"
"zszt40956.20","Abschirmblec","60.0","959600","959600","0"
"zszt47555.20","Abschirmblec","125.0","959600","959600","0"
"x89085022.47","AbschirmhÃ¼ls","15.0","152240","152240","0"
"zs1111639140","Abschirmung","55.0","959600","959600","2"
"zs138670.40","Abschirmung","60.0","959600","959600","0"
"zs157362.40","Abschirmung","110.0","959600","959600","0"
"zs157364.80","Abschirmung","80.0","959600","959600","0"
"wz4020","Speedplatte","0.0","959901","959904","0"
"zsi912013.40","Abschirmung","115.0","959600","959600","0"
"zsi913034.40","Abschirmung","120.0","959600","959600","0"
"zsi913036.40","Abschirmung","60.0","959600","959600","0"
"zsi914025.80","Abschirmung","115.0","959600","959600","2"
"zsi914028.80","Abschirmung","40.0","959600","959600","2"
"wz4021","Speedplatte","0.0","959901","959904","0"
"471016","AderendhÃ¼lse","20.0","522020","522020","2"
"471018","AderendhÃ¼lse","20.0","522020","522020","2"
"471022","AderendhÃ¼lse","20.0","522020","522020","2"
"469806","AderendhÃ¼lse","20.0","522020","522020","2"
"469808","AderendhÃ¼lse","20.0","522020","522020","2"
"461116","AderendhÃ¼lse","20.0","522030","522030","2"
"461118","AderendhÃ¼lse","20.0","522030","522030","0"
"461125","AderendhÃ¼lse","20.0","522030","522030","2"
"460508","AderendhÃ¼lse","20.0","522030","522030","2"
"460508s","AderendhÃ¼lse","20.0","522030","522030","0"
"460510","AderendhÃ¼lse","20.0","522030","522030","2"
"460512","AderendhÃ¼lse","20.0","522030","522030","2"
"460518","AderendhÃ¼lse","20.0","522030","522030","2"
"461530","AderendhÃ¼lse","145.0","522030","522030","2"
"470208c","AderendhÃ¼lse","20.0","522020","522020","2"
"470208w","AderendhÃ¼lse","20.0","522020","522020","2"
"490912","AderendhÃ¼lse","20.0","522010","522010","2"
"490918","AderendhÃ¼lse","20.0","522010","522010","2"
"491220","AderendhÃ¼lse","20.0","522010","522010","2"
"zs130009.40","Abschirmung","35.0","959600","959600","0"
"s15100092060","AbschlusshÃ¼l","60.0","250560","250560","0"
"s15100092068","AbschlusshÃ¼l","15.0","250560","250560","0"
"s22130132560","AbschlusshÃ¼l","10.0","250560","250560","0"
"s22130132561","AbschlusshÃ¼l","0.0","250560","250560","0"
"s28170143060","AbschlusshÃ¼l","60.0","250560","250560","0"
"s30130165060","AbschlusshÃ¼l","60.0","250560","250560","0"
"s30130165065","AbschlusshÃ¼l","15.0","250560","250560","0"
"s50100205060","AbschlusshÃ¼l","35.0","250560","250560","0"
"s50100205065","AbschlusshÃ¼l","15.0","250560","250560","0"
"s60100255060","AbschlusshÃ¼l","60.0","250560","250560","0"
"s60100255065","AbschlusshÃ¼l","15.0","250560","250560","0"
"s90930672965","AbschlusshÃ¼l","15.0","250560","250560","0"
"s90930672960","AbschlusshÃ¼l","60.0","250560","250560","0"
"zd555250390","Abstandsbolz","0.0","959800","959800","0"
"ah16e070.pa","Abstandshalt","40.0","151560","151560","0"
"ah16e120.pa","Abstandshalt","10.0","151560","151560","2"
"ah16e130.pa","Abstandshalt","20.0","151560","151560","0"
"ah16e170.pa","Abstandshalt","40.0","151560","151560","0"
"491225","AderendhÃ¼lse","20.0","522010","522010","2"
"461016","AderendhÃ¼lse","20.0","522030","522030","2"
"461018","AderendhÃ¼lse","20.0","522030","522030","2"
"461022","AderendhÃ¼lse","20.0","522030","522030","2"
"469706","AderendhÃ¼lse","20.0","522020","522020","2"
"469708","AderendhÃ¼lse","20.0","522020","522020","2"
"470812","AderendhÃ¼lse","20.0","522020","522020","2"
"470818","AderendhÃ¼lse","20.0","522020","522020","2"
"460306","AderendhÃ¼lse","20.0","522030","522030","2"
"460308","AderendhÃ¼lse","20.0","522030","522030","2"
"460308w","AderendhÃ¼lse","20.0","522030","522030","2"
"460310","AderendhÃ¼lse","20.0","522030","522030","2"
"460310w","AderendhÃ¼lse","20.0","522030","522030","2"
"460312","AderendhÃ¼lse","20.0","522030","522030","2"
"461321","AderendhÃ¼lse","145.0","522030","522030","2"
"461632","AderendhÃ¼lse","145.0","522030","522030","2"
"470006","AderendhÃ¼lse","20.0","522020","522020","2"
"470008","AderendhÃ¼lse","20.0","522020","522020","2"
"490712","AderendhÃ¼lse","20.0","522010","522010","2"
"ah1e085.pa","Abstandshalt","0.0","151570","151570","0"
"ah1e120.pa","Abstandshalt","0.0","151570","151570","0"
